loai_bds,tieu_de,gia,dien_tich,kich_thuoc,huong,so_tang,so_phong_ngu,so_wc,phap_ly,quan_huyen,dia_chi,nguon
Nhà trong hẻm,"🏡 BÁN NHÀ 3,5 MÊ – HẺM 1 XẸT NGÔ ĐỨC ĐỆ – GẦN BIỂN 🌊","3,65 tỷ",44m²,4x11m,Tây,3 tầng,3 PN,,,Thành phố Quy Nhơn,Đường Ngô Đức Đệ,https://alonhadat.com.vn/-ban-nha-3-5-me-hem-1-xet-ngo-duc-de-gan-bien--18434929.html
Căn hộ chung cư,"CHUYỂN NHƯỢNG CĂN HỘ PHÚ TÀI CENTRAL LIFE giá từ 1,25ty/căn","1,25 tỷ",35 m²,5x7m,Tây,25 tầng,2 PN,,,Thành phố Quy Nhơn,Đường Hoàng Văn Thụ,https://alonhadat.com.vn/chuyen-nhuong-can-ho-phu-tai-central-life-gia-tu-1-25ty-can-17973855.html
Đất nền/liền kề/đất dự án,"🏠Bán đất 172m2 khu vực cẩm văn,p nhơn hưng,tx An Nhơn, tỉnh Bình Định","1,46 tỷ",172 m²,10x18m,Tây,,,,,Thị xã An Nhơn,đường lộ giới 14m. ✅Gần trụ sở khu vực cẩm văn,https://alonhadat.com.vn/-ban-dat-172m2-khu-vuc-cam-van-p-nhon-hung-tx-an-nhon-tinh-binh-dinh-18558863.html
Đất thổ cư/đất ở,"Bán đất khu cầu 2 Hà Thanh, Diện tích : 62m2 , 68m2 giá từ 3,25ty","3,25 tỷ",62 m²,"4x15,5m",Tây,,,,,Thành phố Quy Nhơn,đường rộng : 14m,https://alonhadat.com.vn/ban-dat-khu-cau-2-ha-thanh-dien-tich-62m2-68m2-gia-tu-3-25ty-18679644.html
Đất thổ cư/đất ở,"Bán lô đất mặt tiền đường nguyễn diêu, thành phố quy nhơn. Dt 88m2: 2,95tỉ","2,95 tỷ",88 m²,"5x17,5m",,,,,,Thành phố Quy Nhơn,đường nguyễn diêu,https://alonhadat.com.vn/ban-can-nha-phuong-nhon-binh-thanh-pho-quy-nhon-gia-cuc-tot--15078064.html
Căn hộ chung cư,"Bán căn hộ thương mại  Ecolife Riverside  đường Điện Biên Phủ - 1,5 PN, 940tr-  Sổ Lâu Dài",940 triệu,45 m²,,,15 tầng,5 PN,,Sổ hồng,Thành phố Quy Nhơn,đường Điện Biên Phủ - 1,https://alonhadat.com.vn/ban-can-ho-thuong-mai-ecolife-riverside-duong-dien-bien-phu-64-5m2-2-pn-2wc-12321357.html
Căn hộ chung cư,Sang nhượng căn Melody tầng cao -wiew biển giá lỗ gần 600 triệu so với giá HĐMB,"1,5 tỷ",46 m²,,Đông,31 tầng,2 PN,,HĐMB,Thành phố Quy Nhơn,Đường Chương Dương,https://alonhadat.com.vn/sang-nhuong-can-melody-tang-cao-wiew-bien-gia-lo-gan-600-trieu-so-voi-gia-hdmb-16147666.html
Căn hộ chung cư,QUỸ CĂN SANG NHƯỢNG CHUNG CƯ XUÂN THUỶ LOCK C MỚI,"1,25 tỷ",70 m²,7x10m,Tây,20 tầng,2 PN,2 WC,,Thành phố Quy Nhơn,đường Hoàng Văn Thụ giao với Lý Thái Tổ - Diện tích 70m2,https://alonhadat.com.vn/quy-can-sang-nhuong-chung-cu-xuan-thuy-lock-c-moi-17300317.html
Căn hộ chung cư,"Cần bán căn hộ Quy Nhơn chuyên cho thuê du lịch trên Booking, Agoda","2,2 tỷ",65 m²,,,20 tầng,2 PN,,Sổ hồng,Thành phố Quy Nhơn,Đường Trần Hưng Đạo,https://alonhadat.com.vn/can-ban-can-ho-quy-nhon-chuyen-cho-thue-du-lich-tren-booking-agoda-18330598.html
Đất nền/liền kề/đất dự án,"🏠Cần bán gấp lô đất dt 100m2 khu đô Thị mới Long Vân,Phường trần Quang Diệu, TP Quy Nhơn,","2,85 tỷ",100 m²,5x20m,Nam,,,,,Thành phố Quy Nhơn,,https://alonhadat.com.vn/-can-ban-gap-lo-dat-dt-100m2-khu-do-thi-moi-long-van-phuong-tran-quang-dieu-tp-quy-nhon--16906443.html
Nhà trong hẻm,"Bán nhà 3 mê nội bộ oto Tô Hiến Thành có phòng ngủ dưới. 87m2 ngang 5m giá 5,2tỷ","5,2 tỷ",87 m²,4x22m,Đông,3 tầng,4 PN,,,Thành phố Quy Nhơn,đường tô hiến thành. .  Nhà 3 mê nguyên,https://alonhadat.com.vn/ban-nha-3-me-noi-bo-oto-to-hien-thanh-co-phong-ngu-duoi-87m2-ngang-5m-gia-5-2ty-18188712.html
Căn hộ chung cư,"SỔ SẴN - Chủ bán nhanh chung cư Xuân Thuỷ ( Hoàng Văn Thụ) giá 1,25 tỷ","1,25 tỷ",65 m²,,,8 tầng,2 PN,2 WC,,Thành phố Quy Nhơn,Đường Hoàng Văn Thụ – trung tâm TP. Quy Nhơn   Kết cấu căn hộ: – 2 phòng ngủ – 2 WC – Phòng khách + bếp – Ban công view công viên thoáng mát   Tầng 8 – cao vừa đẹp,https://alonhadat.com.vn/so-san-chu-ban-nhanh-chung-cu-xuan-thuy-hoang-van-thu-gia-1-15-ty-18242694.html
Căn hộ chung cư,"Quỹ căn hộ Altara Residence siêu Víp. Giá 1,9 - 2,150 tỷ/căn 2PN, 2WC. Tầng cao view biển","1,9 tỷ",65 m²,,Tây,16 tầng,2 PN,2 WC,Sổ hồng,Thành phố Quy Nhơn,Đường Trần Hưng Đạo,https://alonhadat.com.vn/cat-lo-can-ho-2-phong-ngu-view-bien-tang-cao-du-an-altara-residencen-quy-nhon-16332639.html
Đất nền/liền kề/đất dự án,"♻️Cần bán dt 120m2 Ngãi chánh 3,Nhơn Hậu,Tx An Nhơn, tỉnh Bình Định",899 triệu,120 m²,6x20m,Đông,,,,,Thị xã An Nhơn,,https://alonhadat.com.vn/-can-ban-dt-120m2-ngai-chanh-3-nhon-hau-tx-an-nhon-tinh-binh-dinh-18381024.html
Nhà mặt tiền,"Bán nhà mặt tiền đường Nguyễn Tất Thành 49m2, 95m2 và 89m2","2,85 tỷ",40 m²,4x10m,,,2 PN,,,Thành phố Quy Nhơn,đường Nguyễn Tất Thành 49m2,https://alonhadat.com.vn/ban-2-can-nha-mat-tien-duong-nguyen-tat-thanh-dt-39m2-va-59m2-huong-tay-nam-8115468.html
Đất nền/liền kề/đất dự án,CẦN BÁN ĐẤT Ở BIỆT THỰ  - KDC ĐÔNG BÀN THÀNH - THỊ XÃ AN NHƠN !!!,12 triệu,152 m²,8x20m,Tây,,,,,Thị xã An Nhơn,ĐƯỜNG QUY HOẠCH 16M ( VỈA HÈ ĐỀU ĐƯỢC LÁT ĐÁ GRANITE CAO CẤP )  - VỊ TRÍ NẰM TR......  << Xem chi tiết >>   16m                                           Giá: 12 triệu / m²                                               Diện tích: 152 m² KT: 8x20mHướng: Tây Nam     Quốc lộ 1A,https://alonhadat.com.vn/can-ban-4-lo-biet-thu-lien-ke-nhau-kdc-dong-ban-thanh-thi-xa-an-nhon--10766197.html
Căn hộ chung cư,"Bán Căn Hộ Merryhome - Marina District - Merryland Quy Nhơn, 1,47 tỷ.. căn hộ View biển","1,47 tỷ",43 m²,,,15 tầng,1 PN,,,Thành phố Quy Nhơn,,https://alonhadat.com.vn/ban-can-ho-merryhome-marina-district-merryland-quy-nhon-1-27-ty-can-ho-view-bien-13183587.html
Đất thổ cư/đất ở,"Bán đất khu phố phương phi, thị trấn cát tiến, diện tích 149,5m2..","2,6 tỷ",150 m²,"6,5x20m",Bắc,,,,,Huyện Phù Cát,,https://alonhadat.com.vn/ban-dat-khu-pho-phuong-phi-thi-tran-cat-tien-dien-tich-149-5m2--14450996.html
Nhà trong hẻm,Nhà hẻm nguyễn thái học tren 2ty phuong qui nhơn nam,"2,68 tỷ",46 m²,,Đông,1 tầng,3 PN,2 WC,,Thành phố Quy Nhơn,Đường Nguyễn Thái Học,https://alonhadat.com.vn/nha-hem-nguyen-thai-hoc-tren-2ty-phuong-qui-nhon-nam-18313448.html
Đất thổ cư/đất ở,Bán lô đất Biển Nhơn Hải - Quy Nhơn. Vị trí đường trục chính xuống biển. Giá cực tốt.,"2,1 tỷ",67 m²,"4x16,75m",,,,,,Thành phố Quy Nhơn,đường trục chính xuống biển. Giá cực tốt. Hôm nay  Bán lô đất Biển Nhơn Hải - Quy Nhơn. Thông tin chi tiết Sang phiếu lô đất Biển Nhơn Hải - Quy Nhơn - Diện tích 67m2,https://alonhadat.com.vn/ban-lo-dat-bien-nhon-hai-quy-nhon-vi-tri-duong-truc-chinh-xuong-bien-gia-cuc-tot--18539823.html
"Biệt thự, nhà liền kề","Biệt thự sân vườn hiện đại ,hồ cá koi Khu Biệt Thự Tp Quy Nhơn",15 tỷ,200 m²,"9,8x20m",Đông,3 tầng,6 PN,,,Thành phố Quy Nhơn,Đường số 5,https://alonhadat.com.vn/biet-thu-san-vuon-hien-dai-ho-ca-koi-khu-biet-thu-tp-quy-nhon-17780595.html
Đất nền/liền kề/đất dự án,"Bán đất dt 87m2 kv châu thành,P nhơn thành,tx an nhơn,Bình Định",720 triệu,87 m²,5x17m,Bắc,,,,,Thị xã An Nhơn,đường kinh tế FLC gần Ngã tư Gò Găng đường lên Sân Bay chỉ 5phút. 👉Lộ giới......  << Xem chi tiết >>   16m                                           Giá: 720 triệu                                              Diện tích: 87 m² KT: 5x17mHướng: Bắc,https://alonhadat.com.vn/ban-dat-dt-87-7m2-kv-chau-thanh-p-nhon-thanh-tx-an-nhon-binh-dinh-14070427.html
"Biệt thự, nhà liền kề","Ra mắt Nhà Phố 4,5 tầng ngay TT TP Quy Nhơn, mặt tiền đường Long Vân - Long Mỹ rộng 42m","4,6 tỷ",100 m²,5x20m,,5 tầng,6 PN,,,Thành phố Quy Nhơn,đường Long Vân - Long Mỹ rộng 42m 24/05/2026  𝐑𝐚 𝐦𝐚̆́𝐭 𝐍𝐡𝐚̀ 𝐏𝐡𝐨̂́ 𝐭𝐡𝐮̛𝐨̛𝐧𝐠 𝐦𝐚̣𝐢 𝟒,https://alonhadat.com.vn/ra-mat-nha-pho-4-5-tang-ngay-tt-tp-quy-nhon-mat-tien-duong-long-van-long-my-rong-42m-16600633.html
Đất thổ cư/đất ở,Bán lô góc - Đất Biển Nhơn Lý - Quy Nhơn,"6,5 tỷ",212 m²,11x19m,,,,,,Thành phố Quy Nhơn,,https://alonhadat.com.vn/ban-lo-goc-dat-bien-nhon-ly-quy-nhon-18456408.html
Nhà trong hẻm,"Bán nhà nội bộ oto khu tây sơn ,qui nhơn","3,45 tỷ",114M²,,Đông,1 tầng,2 PN,,,Thành phố Quy Nhơn,ĐƯỜNG OTO  KHU GARA QUYỀN – GẦN CHUNG CƯ LAMER & KHU LIÊN KỀ PHÚ GIA  • VỊ TRÍ: KHU GARA QUYỀN,https://alonhadat.com.vn/ban-nha-noi-bo-oto-khu-tay-son-qui-nhon-18452378.html
Đất nền/liền kề/đất dự án,"Bán đất dt 85 m2  an Cửu,Phước Hưng Tuy Phước Bình Định",980 triệu,85 m²,5x17m,Bắc,,,,,Huyện Tuy Phước,,https://alonhadat.com.vn/ban-dat-dt-95m2-an-cuu-phuoc-hung-tuy-phuoc-binh-dinh-12873037.html
Căn hộ chung cư,Bán & Cho thuê căn hộ Nam Ngân (phường Hải Cảng) - 2PN - Cho thuê 5tr/th- giá bán 900tr,900 triệu,54 m²,,,15 tầng,2 PN,1 WC,,Thành phố Quy Nhơn,Đường Đinh Bộ Lĩnh,https://alonhadat.com.vn/ban-cho-thue-can-ho-nam-ngan-phuong-hai-cang-2pn-cho-thue-5tr-th-gia-ban-900tr-13444541.html
Nhà mặt tiền,"Bán căn nhà mặt tiền đường Hoàng Văn Thụ 45m2, 115m2, 138m2 và 202m2","4,550 tỷ",45 m²,"4,5x10m",Đông,,,,,Thành phố Quy Nhơn,đường Hoàng Văn Thụ 45m2,https://alonhadat.com.vn/ban-nha-me-lo-ba-gac-can-duong-tay-son-66m2-huong-dong-nam-8130480.html
Đất thổ cư/đất ở,"Bán đất biển Nhơn Lý Eo Gió Kỳ Co, lô đất dt 105m2 giá chỉ 2tỷ.",2 tỷ,105 m²,5x21m,Đông,,,,Sổ đỏ,Thành phố Quy Nhơn,,https://alonhadat.com.vn/ban-dat-bien-nhon-ly-eo-gio-ky-co-lo-dat-dt-105m2-gia-chi-2ty--18554791.html
"Biệt thự, nhà liền kề","Bán Biệt thự Ghềnh Ráng gần Đặng Thùy Trâm, cách biển 500m. DT 202m2 ngang 8.5m giá 13 tỷ",13 tỷ,202 m²,"8,5x24m",,3 tầng,5 PN,4 WC,,Thành phố Quy Nhơn,Đường Đặng Thùy Trâm,https://alonhadat.com.vn/ban-biet-thu-ghenh-rang-gan-dang-thuy-tram-cach-bien-500m-dt-202m2-ngang-8-5m-gia-13-ty-18580635.html
Nhà mặt tiền,"(RẺ) Bán Nhanh 2 Lô liền kề Chỉ 2ty xx, Mặt Tiền Phan Thúc Trực lộ giới 14m Quy Nhơn","2,65 tỷ",44 m²,4x11m,,,,,Sổ đỏ,Thành phố Quy Nhơn,Đường Phan Thúc Trực,https://alonhadat.com.vn/-ngon-re-ban-nha-mat-tien-kinh-doanh-nguyen-thai-hoc-quy-nhon-149m-chi-14tyx-sam-uat-17994508.html
Căn hộ chung cư,Cần bán căn hộ NOXH ECO HOME Nhơn Bình 2PN 800 Triệu full nội thất,800 triệu,60 m²,,,12 tầng,2 PN,1 WC,Sổ hồng,Thành phố Quy Nhơn,Đường Nguyễn Diêu,https://alonhadat.com.vn/can-ban-can-ho-noxh-eco-home-nhon-binh-2pn-800-trieu-full-noi-that-12267764.html
Nhà trong hẻm,"Nhà hẻm trần hưng đạo , phường qui nhơn","3,2 tỷ",50 m²,,Đông,1 tầng,2 PN,,,Thành phố Quy Nhơn,Đường Trần Hưng Đạo 20m. TTTP. Quy Nhơn. Phường Quy Nhơn. - Diện Tích 50m2 Ngang 7m. - Hẻm 3m5. Hướng Đông Nam - Hiện Trạng Nhà 1 Mê Kiêng Cố Đầy Đủ Công Năng.  - Giá Chỉ 3 tỷ 200.⭐️ Alo:......  << Xem chi tiết >>   4m1 tầng2 phòng ngủ                                           Giá: 3,https://alonhadat.com.vn/nha-hem-tran-hung-dao-phuong-qui-nhon-17913980.html
Đất thổ cư/đất ở,"Bán đất mặt tiền đường ĐIỆN BIÊN PHỦ, TRỤC ĐƯỜNG SẦM UẤT BẬC NHẤT. DIỆN TÍCH 188M2. GIÁ TỐ",9 tỷ,188 m²,"7,5x25m",,,,,,Thành phố Quy Nhơn,đường ĐIỆN BIÊN PHỦ,https://alonhadat.com.vn/ban-dat-mat-tien-duong-dien-bien-phu-truc-duong-sam-uat-bac-nhat-dien-tich-188m2-gia-to-17685550.html
Căn hộ chung cư,"Bán Căn Hộ Phú Tài Residence - 3 phòng ngủ, tặng toàn bộ nội thất",2tỷ,87 m²,,Đông,9 tầng,3 PN,2 WC,,Thành phố Quy Nhơn,Đường Lê Đức Thọ,https://alonhadat.com.vn/ban-can-ho-phu-tai-residence-3-phong-ngu-tang-toan-bo-noi-that-17377678.html
Đất thổ cư/đất ở,"Mở Bán các nền đất Khu dân cư Tân Thanh, ven biển Cát Hải. Dt 200m2. Chỉ 1 tỉ 250 triệu.","1,25 tỷ",200 m²,8x25m,,,,,,Huyện Phù Cát,Đường Tỉnh lộ 639,https://alonhadat.com.vn/mo-ban-cac-nen-dat-khu-dan-cu-tan-thanh-cat-hai-gia-chi-1-ti-250-trieu-re-nhat--18150575.html
